state,district,priority_label,priority_rank,forecast_next_month,required_staff,required_kits
100000,100000,High Priority,1.0,67,1,1
Andaman & Nicobar Islands,Nicobars,High Priority,2.0,1,1,1
West Bengal,Hooghiy,High Priority,2.0,1,1,1
West Bengal,East Midnapur,High Priority,2.0,1,1,1
Uttar Pradesh,Bagpat,High Priority,2.0,1,1,1
Rajasthan,Beawar,High Priority,2.0,1,1,1
Rajasthan,Salumbar,High Priority,2.0,1,1,1
Orissa,Sundergarh,High Priority,2.0,1,1,1
Haryana,Jhajjar *,High Priority,2.0,1,1,1
Jammu & Kashmir,Punch,High Priority,2.0,1,1,1
Maharashtra,Hingoli *,High Priority,2.0,1,1,1
Tamil Nadu,Tiruvarur,High Priority,2.0,1,1,1
Rajasthan,Balotra,High Priority,2.0,1,1,1
Tamil Nadu,Namakkal   *,High Priority,2.0,1,1,1
Jammu & Kashmir,Badgam,High Priority,2.0,1,1,1
Orissa,Kendrapara *,High Priority,2.0,1,1,1
Meghalaya,Eastern West Khasi Hills,High Priority,3.0,238,1,1
Sikkim,Mangan,High Priority,4.0,1,1,1
Arunachal Pradesh,Leparada,High Priority,4.0,1,1,1
Mizoram,Khawzawl,High Priority,5.0,9,1,1
Tamil Nadu,Tuticorin,High Priority,6.0,1,1,1
Orissa,Nabarangapur,High Priority,6.0,1,1,1
Rajasthan,Didwana-Kuchaman,High Priority,6.0,2,1,1
Goa,Bardez,High Priority,6.0,1,1,1
Jharkhand,Bokaro *,High Priority,6.0,1,1,1
Orissa,Khorda,High Priority,6.0,1,1,1
West Bengal,South 24 Pargana,High Priority,6.0,1,1,1
Jammu & Kashmir,Leh (Ladakh),High Priority,6.0,1,1,1
West Bengal,West Medinipur,High Priority,6.0,2,1,1
Delhi,North East   *,High Priority,6.0,2,1,1
Karnataka,Udupi *,High Priority,6.0,2,1,1
Jammu & Kashmir,Bandipur,High Priority,6.0,1,1,1
West Bengal,Burdwan,High Priority,6.0,2,1,1
Telangana,Medchal?Malkajgiri,High Priority,6.0,1,1,1
Jammu & Kashmir,Doda,High Priority,6.0,2,1,1
Jammu & Kashmir,Rajauri,High Priority,6.0,1,1,1
Odisha,Anugal,High Priority,6.0,1,1,1
Jammu & Kashmir,Udhampur,High Priority,6.0,1,1,1
Orissa,Nuapada,High Priority,6.0,1,1,1
Mizoram,Hnahthial,High Priority,6.0,1,1,1
Arunachal Pradesh,Pakke Kessang,High Priority,7.0,1,1,1
Mizoram,Saitual,High Priority,8.0,4,1,1
Sikkim,Namchi,High Priority,9.0,4,1,1
Karnataka,Bijapur(Kar),High Priority,10.0,2,1,1
Chandigarh,Rupnagar,High Priority,10.0,2,1,1
Jammu & Kashmir,Kargil,High Priority,10.0,1,1,1
Jammu & Kashmir,Srinagar,High Priority,10.0,1,1,1
Puducherry,Pondicherry,High Priority,10.0,1,1,1
Orissa,Baleswar,High Priority,10.0,2,1,1
Uttar Pradesh,Raebareli,High Priority,10.0,2,1,1
Himachal Pradesh,Lahaul And Spiti,High Priority,10.0,2,1,1
Jammu & Kashmir,Pulwama,High Priority,11.0,1,1,1
Meghalaya,Jaintia Hills,High Priority,11.0,4,1,1
Tamil Nadu,Tirupathur,High Priority,11.0,4,1,1
Orissa,Baudh,High Priority,11.0,1,1,1
West Bangal,Howrah,High Priority,11.0,2,1,1
Jammu & Kashmir,Anantnag,High Priority,11.0,2,1,1
West Bengal,Hawrah,High Priority,12.0,2,1,1
Meghalaya,Kamrup,High Priority,13.0,143,1,1
Jammu & Kashmir,Kupwara,High Priority,14.0,2,1,1
Orissa,Subarnapur,High Priority,14.0,2,1,1
West Bangal,Hooghly,High Priority,14.0,2,1,1
Uttar Pradesh,Kushinagar *,High Priority,14.0,2,1,1
Nagaland,Tseminyu,High Priority,15.0,7,1,1
Puducherry,Yanam,High Priority,16.0,2,1,1
Westbengal,Hooghly,High Priority,16.0,2,1,1
Telangana,Warangal (Urban),High Priority,16.0,2,1,1
Orissa,Debagarh,High Priority,16.0,2,1,1
Andhra Pradesh,Mahabubnagar,High Priority,16.0,2,1,1
Meghalaya,Ri Bhoi,High Priority,17.0,415,1,1
Meghalaya,East Jaintia Hills,High Priority,18.0,162,1,1
Meghalaya,East Khasi Hills,High Priority,19.0,1205,3,3
Meghalaya,West Khasi Hills,High Priority,20.0,394,1,1
Orissa,Gajapati,High Priority,21.0,3,1,1
Jammu & Kashmir,Kathua,High Priority,21.0,3,1,1
Meghalaya,South Garo Hills,High Priority,22.0,184,1,1
Punjab,Kapurthala,High Priority,23.0,404,1,1
Dadra And Nagar Haveli And Daman And Diu,Diu,High Priority,24.0,7,1,1
Meghalaya,South West Khasi Hills,High Priority,25.0,181,1,1
Meghalaya,West Jaintia Hills,High Priority,26.0,364,1,1
Madhya Pradesh,Pandhurna,High Priority,27.0,27,1,1
West Bengal,Kalimpong,High Priority,28.0,51,1,1
Daman & Diu,Daman,High Priority,29.0,2,1,1
Nagaland,Chumukedima,High Priority,30.0,19,1,1
Meghalaya,West Garo Hills,High Priority,31.0,638,2,2
Nagaland,Meluri,High Priority,32.0,6,1,1
